DriverID,City,SignupDate,LastActiveDate,DaysSinceLastTrip,TotalTrips,TripsPerWeek,HoursOnlinePerDay,Utilisation,AverageDailyEarnings_GHS,EarningsPerWeek,Ratings,CancellationRate,IncentiveParticipation,EngagementScore,churn
867595,Kumasi,09/08/2022,23/01/2025,332,11506,56,14.4,0.46,102.6,718.2,5,0.26,,0.73,1
252906,Cape Coast,21/02/2024,30/10/2024,417,3425,30,12.4,0.56,355.8,2490.6,5,0.28,0,0.74,1
515192,Kumasi,11/12/2022,13/10/2024,434,3074,83,10.3,0.52,627.3,4391.1,4,0.33,1,0.53,1
752664,Accra,15/04/2022,01/07/2025,173,1721,123,,0.5,152.8,1069.6,4,0.25,0,0.65,1
,Kumasi,05/04/2022,29/04/2025,236,764,140,5.9,0.74,770.9,5396.3,5,0.33,0,0.66,0
551269,Accra,25/01/2023,12/07/2024,527,1069,20,6.6,0.46,704.4,4930.8,5,0.23,0,0.44,1
890180,Tamale,10/04/2022,25/05/2025,210,10054,20,5.6,0.43,209.8,1468.6,4,0.44,1,0.52,1
265838,Kumasi,03/01/2023,22/08/2024,486,5096,20,4.2,0.46,305.3,2137.1,5,0.28,1,0.78,0
693128,Kumasi,17/05/2024,09/06/2024,560,200,128,5.2,0.6,234,1638,5,0.2,1,0.65,1
139353,Accra,19/12/2022,03/10/2023,810,,127,16,,639,4473,4,0.26,1,0.35,1
865313,Accra,11/09/2023,10/11/2025,41,7087,74,11.6,0.46,,3106.6,4,0.42,1,0.48,1
881239,Cape Coast,28/09/2022,15/02/2023,1040,5274,79,8.9,0.76,893.5,6254.5,4,0.37,0,0.67,1
737147,Takoradi,06/04/2024,22/02/2025,302,200,106,11.8,0.75,612.3,4286.1,4,0.35,1,0.68,1
369536,Kumasi,14/02/2022,24/02/2024,666,5946,97,10,0.57,254.3,1780.1,4,0.27,1,0.76,1
842452,Kumasi,18/01/2024,19/04/2025,246,4091,150,4.3,0.78,165.2,1156.4,5,0.26,,0.51,1
580671,Accra,16/04/2023,21/05/2025,214,4643,64,4,0.57,180.7,1264.9,,0.32,1,0.26,1
209751,Accra,04/07/2023,09/02/2024,681,9554,104,4,0.49,239.8,1678.6,5,0.27,0,0.49,1
561079,Accra,08/05/2022,21/05/2023,945,3940,82,5.8,0.73,317.3,2221.1,4,0.22,1,,1
713333,Kumasi,23/01/2023,11/11/2024,405,1899,125,5,0.61,494.8,3463.6,5,0.3,1,1,1
518400,Accra,22/03/2022,06/11/2024,410,200,,8.4,0.61,442.6,3098.2,5,0.29,0,0.7,1
151663,Accra,20/07/2023,10/03/2024,651,1919,78,9.6,0.64,193.9,1357.3,4,0.4,1,0.81,1
418394,Accra,28/10/2022,29/05/2025,206,1742,59,4.6,0.41,301.4,2109.8,4,0.24,0,0.53,1
851102,Cape Coast,29/04/2024,05/05/2025,230,200,,13.5,0.44,632,4424,5,0.28,1,,1
314835,Accra,06/10/2023,12/09/2024,465,6015,33,4.7,0.41,381.3,2669.1,4,0.49,0,0.45,1
843974,Kumasi,26/09/2023,17/04/2024,613,5514,114,,0.59,229.3,1605.1,5,0.34,1,0.49,1
908350,Cape Coast,06/01/2023,12/06/2024,557,1011,86,9.9,0.79,555.3,3887.1,5,0.26,,0.14,0
408987,Accra,15/08/2023,25/04/2025,240,4749,20,9.1,0.69,381.5,2670.5,5,0.18,1,0.77,1
247443,Accra,16/07/2022,02/09/2022,1206,5885,94,10.1,0.7,532.2,3725.4,5,0.27,1,0.58,1
465871,Accra,23/12/2023,15/05/2024,585,9301,60,10,0.51,442.5,3097.5,5,0.38,1,0.93,1
391999,Accra,13/03/2022,13/11/2022,1134,5045,150,6.5,0.66,396.5,2775.5,5,0.34,1,0.54,1
480002,Accra,16/02/2022,24/09/2025,88,5383,107,8.8,0.45,,5030.9,5,0.16,1,0.8,0
628787,Accra,09/11/2023,03/01/2025,352,4505,20,6.5,,100,700,5,0.3,1,0.2,1
898615,Accra,22/08/2022,14/01/2025,341,3419,128,4.2,0.69,278.6,,5,0.31,0,0.84,1
891971,Kumasi,02/03/2024,12/04/2025,253,6346,89,9.6,0.73,492.4,3446.8,,0.18,0,0.85,1
803714,Kumasi,24/10/2022,17/07/2025,157,3843,20,,0.72,623.8,4366.6,4,0.32,1,0.72,1
233272,Accra,23/03/2022,30/06/2022,1270,3561,31,7.7,0.45,428.2,2997.4,4,0.38,1,0.64,1
554351,Takoradi,27/08/2022,29/12/2022,1088,3118,139,10.2,0.53,556.1,3892.7,5,0.41,0,0.52,1
138467,Tamale,14/04/2022,27/02/2025,297,,28,12.6,0.62,822.2,5755.4,5,0.31,1,0.72,1
759347,Kumasi,25/01/2023,28/02/2025,296,5868,82,9.7,0.53,179.5,1256.5,3,0.31,1,0.61,0
710704,Accra,12/10/2022,15/11/2022,1132,1845,44,9.5,0.59,486.4,3404.8,,0.38,1,1,1
207450,Accra,10/04/2023,10/11/2024,406,4635,54,8.7,0.52,383.4,2683.8,5,0.36,1,0.51,1
500109,Tamale,13/10/2023,03/01/2025,352,1315,97,16.2,,461.5,3230.5,5,0.23,1,0.89,0
829650,Accra,04/05/2024,06/06/2024,563,,99,4,0.47,548.3,3838.1,5,0.27,1,0.86,1
673665,Accra,09/01/2023,07/11/2025,44,8413,34,4,0.54,591.3,4139.1,4,0.34,1,,0
469599,Cape Coast,16/06/2022,16/04/2024,614,5652,20,4.2,0.5,412.2,2885.4,5,,0,0.67,1
829903,Accra,15/01/2023,19/10/2025,63,3048,29,5.8,0.52,318.6,2230.2,5,0.31,1,0.43,1
996048,Tamale,30/12/2022,31/07/2024,508,7075,65,4,0.54,491.7,3441.9,4,0.2,1,0.41,0
405628,Accra,03/08/2022,24/10/2025,58,291,103,10.8,0.44,459.4,3215.8,5,0.24,1,0.51,1
787995,Takoradi,18/11/2023,25/10/2024,422,4907,100,6.8,0.46,819.4,5735.8,4,0.39,1,0.4,0
983184,Accra,01/10/2022,16/02/2023,1039,12483,,8.2,0.48,377.9,2645.3,4,0.21,1,0.41,1
559451,Accra,20/12/2023,07/03/2024,654,1363,,10.9,0.63,733.8,5136.6,5,0.16,0,0.72,0
477812,Kumasi,01/12/2023,02/07/2025,172,3029,,4.1,0.57,533.7,3735.9,5,0.37,1,0.74,0
840674,Cape Coast,26/10/2023,29/01/2024,692,3342,92,4,0.41,553.6,3875.2,5,0.34,0,0.78,1
613758,Kumasi,15/03/2022,02/05/2025,233,646,20,9.4,,594.9,4164.3,4,0.3,1,0.79,0
545101,Accra,16/09/2023,24/11/2025,27,1748,107,9.4,0.55,495.2,3466.4,5,0.29,1,0.86,0
373237,Accra,13/10/2023,06/02/2024,684,4089,107,8.9,0.58,730.1,5110.7,4,0.29,1,0.95,1
635017,Kumasi,25/06/2022,19/06/2025,185,8827,35,8.9,0.49,474.6,3322.2,5,0.22,1,0.74,1
730152,Accra,01/07/2023,11/12/2023,741,5439,150,4,0.56,666.2,4663.4,4,0.31,1,0.63,1
679036,Takoradi,17/01/2024,26/06/2025,178,7362,112,9.9,0.56,388.6,2720.2,5,0.4,1,0.5,1
544209,Kumasi,08/09/2022,07/03/2023,1020,6508,133,13,0.56,816.6,5716.2,4,,1,0.88,1
580761,Takoradi,17/06/2022,05/09/2025,107,5041,121,10.5,0.43,770.8,5395.6,3,0.21,1,0.63,0
337549,Cape Coast,24/01/2023,10/09/2025,102,8842,61,,0.41,100,700,4,0.41,1,0.78,0
548982,Accra,04/10/2022,30/10/2023,783,7088,45,7.1,0.67,467,3269,5,0.4,1,0.97,1
766326,Accra,18/10/2023,26/11/2025,25,4848,20,7.5,0.47,100,700,5,0.3,1,0.59,1
152921,Kumasi,06/12/2023,19/02/2024,671,200,105,7.5,0.78,595,4165,5,0.42,1,0.67,0
155609,Cape Coast,25/07/2023,18/09/2025,94,200,133,6.5,0.51,489,3423,5,0.3,0,0.84,0
170313,Takoradi,13/08/2022,12/01/2025,343,407,77,7.9,0.53,476.9,3338.3,4,0.4,,0.42,0
561243,Kumasi,03/12/2023,12/09/2024,465,1935,150,4,0.62,321.6,2251.2,4,0.26,1,,0
351451,Accra,29/11/2022,10/07/2025,164,5102,57,4,0.63,614.3,4300.1,4,0.29,1,0.72,0
711523,Accra,13/05/2024,19/08/2025,124,3253,29,11.2,0.62,306.1,2142.7,5,0.37,1,0.66,1
562894,Accra,26/02/2024,31/07/2024,508,4279,95,12.2,0.47,228,1596,5,0.25,0,0.75,1
860463,Kumasi,05/03/2024,07/02/2025,317,5661,83,6,0.56,626.4,4384.8,5,0.31,1,0.58,0
970045,Kumasi,27/02/2022,27/07/2022,1243,7930,115,14.2,0.49,,700,4,,1,0.88,1
834994,Kumasi,23/08/2022,31/08/2023,843,2112,96,4,0.43,314.7,2202.9,4,0.25,0,0.56,1
977284,Accra,21/04/2024,02/12/2025,19,,131,5.7,0.5,353.4,2473.8,4,0.17,0,0.44,0
494366,Accra,02/02/2022,30/12/2023,722,1593,20,6,0.65,461.8,3232.6,5,0.23,1,0.82,1
953049,Cape Coast,04/04/2024,13/07/2025,161,5808,79,4,,356.3,2494.1,5,0.33,1,0.59,0
277247,Accra,20/11/2022,05/11/2025,46,6511,65,,0.76,299.2,2094.4,,0.35,1,0.51,0
276615,Accra,15/02/2023,20/07/2025,154,6579,116,8.7,0.65,244.9,,5,0.33,1,,1
506716,Accra,02/10/2022,15/11/2022,1132,1916,,12.7,0.55,269.5,1886.5,5,0.29,1,0.61,1
737717,Tamale,09/03/2022,09/06/2024,560,4980,41,9.8,0.78,395.2,2766.4,5,0.27,1,0.76,0
612153,Kumasi,05/08/2022,26/10/2025,56,8563,78,10.8,0.75,173.6,1215.2,4,0.28,0,1,0
455612,Accra,04/08/2023,31/05/2024,569,6252,89,6.2,0.57,351.9,2463.3,,0.22,0,0.81,1
965264,Kumasi,06/01/2024,13/01/2024,708,200,100,7.4,0.71,469.9,3289.3,5,0.47,1,0.81,1
260196,Accra,19/11/2022,26/01/2025,329,3852,43,10.6,0.67,759.7,5317.9,4,0.24,1,0.9,1
790607,Accra,06/08/2022,14/09/2022,1194,2993,111,,0.59,380,2660,4,0.42,1,,1
418717,Kumasi,03/11/2023,12/11/2023,770,200,,11.9,0.64,606.1,4242.7,4,0.36,0,0.65,1
647337,Accra,27/05/2023,13/01/2024,708,8404,52,,0.63,592.6,4148.2,4,0.22,1,1,1
750419,Accra,10/02/2023,02/12/2024,384,200,76,4.8,0.49,1039.3,7275.1,5,0.29,1,0.84,0
987225,Accra,21/10/2023,01/01/2025,354,3691,122,11.3,0.48,659.9,4619.3,5,0.28,1,0.65,1
640652,Kumasi,15/04/2023,17/09/2023,826,,,13.9,0.66,334.2,2339.4,3,,1,0.97,1
466326,Kumasi,27/05/2022,09/11/2023,773,1369,114,5.8,0.54,221.6,1551.2,,0.28,0,0.69,1
843583,Accra,29/09/2022,30/12/2023,722,3902,79,6.9,,650.4,4552.8,5,0.28,1,0.65,1
636226,Cape Coast,23/05/2022,01/09/2025,111,5470,100,5.5,0.7,100,700,4,0.32,1,0.77,0
987474,Accra,10/09/2022,10/07/2024,529,1599,52,9,0.51,902.6,,5,0.28,1,0.5,1
591072,Cape Coast,02/02/2024,01/08/2025,142,,75,12.1,0.75,571.5,4000.5,5,0.32,1,0.33,1
251836,Kumasi,29/07/2023,09/11/2024,407,,94,7.2,0.42,605.9,4241.3,5,0.39,1,1,0
767521,Accra,06/07/2023,06/05/2025,229,5912,150,5.4,0.62,611.9,4283.3,,0.42,1,0.86,1
651638,Accra,27/09/2022,12/11/2023,770,6360,22,6.1,0.48,593.5,4154.5,4,0.26,1,0.88,1
738873,Accra,04/02/2024,15/09/2025,97,1098,54,4.4,0.57,522.8,3659.6,,0.25,0,0.84,0
943890,Cape Coast,22/08/2023,20/08/2024,488,200,58,4.8,0.55,399.3,2795.1,4,0.45,1,0.8,1
976020,Kumasi,15/03/2023,15/09/2025,97,6560,88,4,0.59,513.3,3593.1,5,0.37,0,0.69,0
631831,Accra,21/08/2023,23/08/2025,120,7739,20,5.6,0.64,366.6,2566.2,4,0.33,1,0.51,0
323992,Kumasi,13/02/2023,23/12/2023,729,11785,25,6.7,0.58,470.2,3291.4,3,0.41,1,0.53,1
791095,Accra,06/01/2023,28/01/2024,693,13386,150,,0.66,141.1,,5,0.28,0,0.5,1
185999,Tamale,13/08/2022,13/06/2023,922,9283,72,10.5,0.49,,2625.7,5,0.32,,0.7,1
844086,Accra,22/05/2022,19/07/2023,886,896,62,6.9,0.58,665.8,4660.6,5,,0,1,1
267280,Accra,06/06/2023,17/04/2024,613,3424,150,9.2,0.42,186.3,1304.1,5,0.37,1,0.63,0
954882,Accra,21/05/2023,23/11/2023,759,5935,60,5.4,0.61,320.4,2242.8,5,0.5,1,0.83,1
638685,Accra,04/04/2022,28/10/2022,1150,5390,62,9.9,0.57,274.1,1918.7,5,0.18,0,0.71,1
219180,Accra,13/02/2024,11/03/2024,650,3496,84,11.9,0.66,545,3815,4,0.21,0,0.73,1
509995,Kumasi,18/02/2022,15/02/2025,309,7972,113,4.6,0.47,149.7,1047.9,5,0.23,1,0.85,1
825256,Accra,31/05/2024,11/07/2024,528,2507,20,4,0.51,359.7,2517.9,4,0.26,,0.42,0
820255,Accra,23/04/2022,09/01/2023,1077,4673,150,9,0.67,237.2,1660.4,5,0.3,0,0.5,1
239407,Takoradi,06/06/2022,17/06/2025,187,4230,117,7.8,0.54,354.9,2484.3,5,0.3,1,0.59,0
320184,Cape Coast,05/10/2023,26/09/2024,451,5440,105,11.1,0.76,416.7,2916.9,5,0.41,1,,1
742612,Accra,13/06/2022,02/11/2022,1145,5648,56,9.3,,720.5,5043.5,4,,1,0.79,1
708364,Accra,22/03/2024,21/02/2025,303,1421,75,9,0.68,338,2366,4,,1,0.72,1
450605,Kumasi,28/11/2023,16/10/2024,431,200,109,4,0.46,429.7,3007.9,5,0.29,1,0.73,0
138102,Accra,09/03/2023,15/10/2025,67,2610,58,6.2,0.54,643.3,4503.1,5,,0,0.58,0
727438,Accra,03/09/2023,26/04/2024,604,4749,120,5.5,0.45,711.9,4983.3,5,0.42,1,0.61,1
331915,Accra,07/03/2022,14/11/2025,37,5488,86,8.3,0.59,650,4550,5,0.43,1,0.61,0
383821,Accra,30/01/2023,02/04/2024,628,2159,20,11.3,0.68,418.1,2926.7,4,0.23,1,0.65,1
455249,Accra,26/01/2023,15/03/2024,646,4872,41,10.4,0.49,192.4,1346.8,4,0.42,1,0.7,1
712380,Cape Coast,03/09/2023,10/07/2024,529,4803,56,7,0.8,263.1,,5,,,0.75,0
113807,Kumasi,25/04/2023,10/10/2023,803,2008,71,6.2,0.52,638.2,4467.4,5,0.36,1,,1
585008,Kumasi,26/06/2023,03/09/2024,474,3510,74,5.8,0.66,550.4,3852.8,5,0.27,1,0.61,1
977699,Cape Coast,15/09/2022,24/03/2024,637,402,56,11.3,0.53,361,2527,5,0.35,1,0.73,1
303196,Kumasi,21/07/2023,16/03/2024,645,,53,12.3,0.52,874.2,6119.4,5,0.43,1,0.64,1
911721,Kumasi,31/05/2024,09/01/2025,346,7666,74,,0.5,,3542,4,0.28,1,0.52,1
930914,Accra,12/01/2022,10/01/2024,711,4598,72,10.6,0.58,617,4319,4,0.28,0,0.4,1
890141,Accra,28/11/2023,26/12/2023,726,2980,27,5.7,0.77,705.1,4935.7,5,0.3,1,0.63,1
506332,Kumasi,09/01/2024,29/05/2024,571,5139,83,4.9,0.58,539,3773,4,0.35,0,0.63,1
663586,Accra,28/04/2022,15/10/2024,432,5397,,8,0.69,,1986.6,4,0.43,1,0.92,0
592734,Accra,30/11/2023,05/04/2024,625,10051,91,10.9,0.57,314,2198,5,0.23,1,0.56,1
313920,Cape Coast,04/07/2023,05/11/2025,46,8021,62,4,0.66,380,2660,,0.37,1,0.87,1
922827,Cape Coast,08/02/2024,27/02/2025,297,5051,93,12.1,0.5,345.1,2415.7,5,0.22,1,1,1
858574,Accra,01/10/2022,23/11/2022,1124,10433,95,10.5,0.76,355.9,2491.3,5,0.32,1,1,1
292714,Accra,27/02/2024,27/05/2025,208,3726,99,,0.79,682,4774,4,0.34,1,0.98,0
523570,Accra,19/10/2023,19/11/2025,32,7640,99,4,0.66,884.9,6194.3,5,,0,1,0
117640,Accra,15/12/2022,16/02/2024,674,2407,99,10.6,0.44,568.1,3976.7,5,0.32,1,0.56,1
601108,Accra,25/04/2022,13/06/2024,556,4162,25,11.8,0.45,270.2,1891.4,5,0.33,,0.75,0
272502,Accra,28/10/2022,06/02/2023,1049,6013,61,4,,381.5,2670.5,4,0.27,1,1,1
111023,Cape Coast,22/03/2023,22/06/2024,547,4651,42,12.6,0.41,156.3,1094.1,5,0.35,1,0.69,1
166203,Kumasi,11/06/2022,26/11/2024,390,4874,,6.9,0.45,388.1,2716.7,4,0.33,1,0.55,1
614723,Accra,10/04/2023,23/05/2024,577,4752,20,6.1,0.63,296.3,2074.1,4,0.18,1,0.74,1
787281,Takoradi,04/01/2022,15/02/2023,1040,7910,,12.2,0.74,427.3,2991.1,,0.41,1,0.82,1
891267,Accra,10/01/2024,08/08/2024,500,4293,67,4,0.5,681.1,4767.7,5,0.21,,0.75,0
992048,Accra,07/01/2024,31/01/2025,324,2219,141,7.4,0.65,458,3206,4,0.26,0,0.78,1
790907,Accra,27/09/2022,10/06/2023,925,3846,131,8.2,0.53,534.4,3740.8,4,0.38,1,0.2,1
222402,Accra,28/05/2023,01/09/2023,842,7879,52,6.3,,626.6,4386.2,4,0.24,1,0.71,1
673695,Accra,20/02/2024,18/08/2024,490,6570,106,8.1,0.41,211.6,1481.2,5,0.31,1,0.75,1
578007,Accra,02/07/2022,05/05/2025,230,3680,126,8.8,0.74,464.6,3252.2,5,,,0.46,1
268964,Kumasi,04/06/2023,17/01/2025,338,1671,,5.6,0.78,328.6,2300.2,5,0.19,0,0.85,0
127712,Accra,19/04/2022,12/03/2025,284,2346,107,5.9,0.53,388.6,2720.2,5,0.13,0,0.93,1
228778,Accra,03/10/2023,05/02/2024,685,3957,95,6.7,0.74,575.8,4030.6,4,0.45,1,0.7,1
906741,Cape Coast,02/11/2022,02/10/2023,811,3751,142,7,0.44,563.9,3947.3,5,0.42,0,0.53,1
251456,Accra,11/05/2024,12/12/2024,374,1812,69,8.3,0.78,304.1,,5,0.34,1,0.89,0
100404,Accra,17/10/2023,18/02/2024,672,6852,105,5.6,0.8,711.1,4977.7,5,0.13,1,0.82,1
773744,Accra,04/06/2023,17/10/2024,430,2296,64,8.8,0.41,578.7,4050.9,5,0.24,1,0.87,0
442786,Accra,16/09/2023,14/10/2025,68,1290,40,11.5,,100,700,5,0.27,0,0.92,0
897348,Accra,23/07/2022,13/12/2025,8,3408,29,4.2,0.61,361.9,2533.3,5,0.28,0,0.47,0
606964,Accra,06/06/2022,09/06/2024,560,5397,119,10.9,0.62,777.3,5441.1,4,0.26,0,0.48,1
931538,Accra,18/01/2023,28/10/2024,419,1245,114,5.6,0.63,691.9,,4,0.3,0,1,0
301152,Accra,20/02/2024,21/04/2025,244,,102,4,0.43,437.6,3063.2,4,0.19,1,0.47,1
136187,Accra,15/06/2022,12/07/2023,893,2699,,8.4,0.74,392,2744,5,0.24,1,0.75,1
608153,Accra,07/07/2023,08/02/2024,682,3019,81,6.5,0.74,408.4,2858.8,5,0.32,1,1,1
718362,Kumasi,08/03/2024,09/06/2024,560,3972,81,8.2,0.72,305.4,2137.8,4,0.27,1,0.68,1
960395,Accra,28/06/2023,24/09/2025,88,5776,105,4,0.69,488.3,3418.1,4,0.33,1,0.84,0
798168,Accra,01/01/2022,05/11/2024,411,4029,92,6,0.41,619.8,4338.6,4,0.3,1,0.82,1
639542,Accra,06/09/2023,09/09/2024,468,11858,49,13.5,,802.6,5618.2,4,0.28,1,1,1
585450,Accra,28/11/2022,03/08/2025,140,6070,99,4,0.4,605.8,4240.6,4,0.41,0,0.65,0
702875,Cape Coast,16/05/2023,02/02/2024,688,5222,114,12.5,0.47,682.5,4777.5,4,0.43,1,0.85,1
828913,Takoradi,20/01/2022,27/11/2024,389,3090,58,4,0.45,383,2681,4,0.44,1,,1
555102,Accra,25/04/2022,11/12/2022,1106,2484,74,7,0.69,502.6,,5,0.35,1,0.67,1
983671,Takoradi,07/01/2023,31/07/2025,143,7031,141,5.9,0.47,530.7,3714.9,4,0.26,1,0.39,0
807689,Accra,01/05/2024,18/05/2024,582,200,67,6.1,0.65,215.8,1510.6,5,0.28,0,0.41,1
533027,Accra,06/04/2024,14/04/2024,616,7373,55,7.7,0.45,682.4,4776.8,5,0.35,1,0.78,1
610736,Cape Coast,11/11/2022,29/12/2024,357,7488,143,11.4,0.67,570.3,3992.1,5,0.34,0,0.96,0
323777,Cape Coast,03/09/2022,11/01/2025,344,3645,74,4,0.76,293.7,2055.9,4,0.28,1,0.66,0
728861,Kumasi,01/03/2022,29/05/2024,571,7465,110,15.8,0.71,433.8,3036.6,5,0.31,1,0.44,0
871954,Tamale,04/09/2022,28/03/2023,999,3139,26,4.7,0.52,188.2,1317.4,5,0.33,0,0.75,1
311791,Accra,04/08/2023,02/08/2024,506,3723,80,8.4,0.69,433.9,3037.3,4,0.33,1,0.79,1
124071,Accra,22/03/2022,30/03/2024,631,5526,65,4.9,0.8,499.8,3498.6,5,0.3,0,0.58,1
272312,Accra,29/03/2022,24/12/2023,728,2889,110,9.9,,168.7,1180.9,5,0.32,1,0.6,1
431868,Accra,20/01/2024,27/03/2024,634,6141,113,4,0.45,210.1,1470.7,4,0.26,0,0.59,1
517170,Cape Coast,13/05/2023,31/07/2024,508,2606,34,8.9,0.62,528.8,3701.6,4,0.46,1,0.52,1
989513,Cape Coast,15/04/2024,17/02/2025,307,4826,122,8.6,0.57,470.1,3290.7,4,0.26,1,0.54,1
230560,Accra,12/03/2022,25/06/2023,910,11914,105,8.1,0.48,590.2,4131.4,4,0.32,1,0.76,1
848589,Accra,18/02/2024,15/05/2024,585,5442,128,,0.47,388.5,2719.5,5,0.2,0,0.62,1
998860,Cape Coast,30/06/2023,27/04/2025,238,,112,4,0.72,530.2,3711.4,4,0.41,,0.86,1
909006,Accra,24/02/2024,15/12/2025,6,6737,125,6.6,0.46,228,1596,4,0.24,1,0.89,0
286717,Accra,09/05/2022,16/07/2024,523,200,30,10.3,0.78,820.3,5742.1,5,0.2,1,,1
